ldk;codigoperiodo;codigoine;dscautarquia;despesatotal;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital
A_0111;A;0111;MEALHADA;16171014.93;8808666.74;4523811.59;3680237.91;0;604617.24;338138.35;2761281.69;164037.91;1522370.31;433130.04;2143389.89
A_0909;A;0909;MEDA;7802518.5;6487092.04;3041528.33;2838401.08;275757.73;331404.9;83597.83;143603.48;199286.87;423133.31;112319.29;353485.68
A_1603;A;1603;MELGAÇO;11174603.95;7635704.25;4584277.87;2430238.89;175949.22;445238.27;16406.51;207386.28;681715.97;899062.11;202690.96;1531637.87
A_0209;A;0209;MÉRTOLA;13338302.24;9023273.26;4634782.56;3218786.66;41209.92;1128494.12;168717.35;77494.26;112755.78;1890881.73;739355.84;1325824.02
A_1704;A;1704;MESÃO FRIO;4989859.26;3377725.42;1999830.21;992940.96;210558.42;174395.83;26089.58;239886.01;8897.37;159252;156972.56;1021036.32
A_0608;A;0608;MIRA;10105386.22;7800425.09;3609526.91;3771562.97;15728.81;403606.4;0;176900.34;298253.52;242249.89;499762.59;1087794.79
A_0609;A;0609;MIRANDA DO CORVO;8320459.77;6467194.2;2919176.04;2923356.53;29116.73;595544.9;75119.67;5756.4;165692.11;196740.42;746374.08;663582.89
A_0406;A;0406;MIRANDA DO DOURO;10423396.76;7392096.98;3129185.83;3429586.79;254290.64;579033.72;6718.4;144855.59;173153.58;475656.08;1037529.46;1193386.67
A_0407;A;0407;MIRANDELA;21928407.93;15168166.19;6382566.56;6611142.66;925110.09;1249346.88;68995.35;2315620.03;227876.38;922775.92;1040326.62;2184647.44
A_0408;A;0408;MOGADOURO;12598096.19;8839692.22;2808426.4;4883520.87;28629.27;1119115.68;13845.92;172529.26;113524.52;161660.64;2141619.87;1155223.76
A_1807;A;1807;MOIMENTA DA BEIRA;11519075.28;7219105.26;3001476.55;3227692.04;271644.13;718292.54;301540.19;177167.91;170824.67;1135713.66;638140.03;1876583.56
A_1506;A;1506;MOITA;30284680.18;24497960.8;13950877.3;7039851.35;150702.43;3356529.72;17030.45;263438.86;539830.27;487107.36;1576319.68;2902992.76
A_1604;A;1604;MONÇÃO;14743681.03;9445338.55;4502906.61;3769116.32;140026.48;1033289.14;61774.46;334760.97;169150.69;616351.95;602092.7;3514211.71
