ldk;codigoperiodo;codigoine;dscautarquia;despesatotal;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;investimentosoutrosinvestimentosbensdecapital;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital
T1_3104;T1;3104;MACHICO;2643945,93;1444045,88;837325,16;398144,77;111730,48;96845,47;839188,88;0;8136,79;135205,48;301526,07;394320,54;360711,17
T1_4602;T1;4602;MADALENA;1204306,39;782446,53;455166,18;218690,99;8394,36;100195;226495,79;0;108418,5;15450,34;59490,69;43136,26;195364,07
T1_1109;T1;1109;MAFRA;11125918,63;7950483,4;3342764,98;3551341,33;18169,53;1038207,56;2935704,64;0;728763,58;53360,45;249670,03;1903910,58;239730,59
T1_1306;T1;1306;MAIA;9166343,8;8490165,53;4555636,33;2670232,03;24473,64;1239823,53;343833,48;37500;147638,8;3263,21;122312,87;33118,6;332344,79
T1_1806;T1;1806;MANGUALDE;3250788,53;1982044,35;1060872,82;836655,62;18269,06;66246,85;1066336,96;6068,62;52884,72;355852,8;568166,79;83364,03;202407,22
T1_0908;T1;0908;MANTEIGAS;1256757,53;700210,7;317495,01;280072,01;4929,57;97714,11;431660,01;10478,99;0;1691,1;86810,76;332679,16;124886,82
T1_1307;T1;1307;MARCO DE CANAVESES;5917879,53;4159579,89;1603180,83;1772786,65;78057;705555,41;1007307,33;5693,66;152959,25;96295,91;30560,53;721797,98;750992,31
T1_1010;T1;1010;MARINHA GRANDE;3045625,11;2219004,45;1148923,76;763763,9;8323,22;297993,57;599310,19;1319,35;417346,43;27081,07;1827,6;151735,74;227310,47
T1_1210;T1;1210;MARVÃO;789152,97;608315,17;402348,88;167898,4;3467,66;34600,23;101129,52;5098,52;0;46033,14;49023,27;974,59;79708,28
T1_1308;T1;1308;MATOSINHOS;19225583,77;15127807,73;6976228,83;6024690,06;114713,42;2012175,42;2267508,39;1155768,33;697188,13;280,74;267809,04;146462,15;1830267,65
T1_0111;T1;0111;MEALHADA;2342416,09;1833466,37;1085028,2;624252,9;1019,87;123165,4;387463,22;45038,67;135793,92;13018,77;180769,38;12842,48;121486,5
T1_0909;T1;0909;MEDA;1621735,36;1347003,23;598929,58;545317,05;58094,46;144662,14;223113,9;1500;3575,61;2748,16;173793,03;41497,1;51618,23
T1_1603;T1;1603;MELGAÇO;5027080,8;2289929,78;1139232,87;786324,05;96728,94;267643,92;2505773,29;508,58;1930791,14;162452,05;301568,7;110452,82;231377,73
T1_0209;T1;0209;MÉRTOLA;2555033,99;1942670,94;1058751,02;576448,86;21727,04;285744,02;329173,76;1409,65;7873,07;106951,33;105212,82;107726,89;283189,29
T1_1704;T1;1704;MESÃO FRIO;1180851,8;718968,82;430485,65;185518,03;56962,38;46002,76;333511,81;0;294342,48;2764,28;21051,57;15353,48;128371,17
T1_0608;T1;0608;MIRA;2035280,94;1623389,37;807201,2;747477,63;25342,25;43368,29;132685,99;6983,17;97730,22;0;3062,7;24909,9;279205,58
T1_0609;T1;0609;MIRANDA DO CORVO;1872999,92;1370595,16;657692,63;656103,64;15779,39;41019,5;298457,37;51799,28;12457,06;28137,35;18720,93;187342,75;203947,39
T1_0406;T1;0406;MIRANDA DO DOURO;2274839,94;1585659,88;754968,74;696210,22;69254,14;65226,78;511264,04;0;10812,76;19832,6;330087,09;150531,59;177916,02
