ldk;codigoperiodo;codigoine;dscautarquia;despesatotal;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;investimentosoutrosinvestimentosbensdecapital;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital
T1_0311;T1;0311;VIEIRA DO MINHO;2813616.78;1512798.05;614613.42;493624.64;30160;374399.99;1108501.32;5008.82;843356.01;164.82;217371.82;42599.85;192317.41
T1_0510;T1;0510;VILA DE REI;1408705.92;745504.35;448155.3;236242.07;22630.82;38476.16;587221.18;53500.4;11325.24;9752;65000;447643.54;75980.39
T1_0815;T1;0815;VILA DO BISPO;1925165.98;1426093.12;886634.83;403706.54;50428.19;85323.56;453408.43;31210.13;301552.63;12134.4;69783.96;38727.31;45664.43
T1_1316;T1;1316;VILA DO CONDE;12587863.23;8936417.66;3804994.53;4430215.42;182454.11;518753.6;1908596.98;49368.57;1006123.38;28894.95;387271.61;436938.47;1742848.59
T1_4101;T1;4101;VILA DO PORTO;1066074.73;822828.82;358799.55;167308.6;5301.78;291418.89;218955.69;0;1725.42;9017.86;9999.48;198212.93;24290.22
T1_0410;T1;0410;VILA FLOR;2412798.05;1301909.18;586646.16;473761.86;18196.92;223304.24;992191.75;3174.77;42026.82;21521.99;624134.4;301333.77;118697.12
T1_1114;T1;1114;VILA FRANCA DE XIRA;10678136.13;9151834.7;3480823.06;3643716.53;39142.39;1988152.72;1108117.64;75000;245733.8;42801.9;48651.73;695930.21;418183.79
T1_4206;T1;4206;VILA FRANCA DO CAMPO;3177333.65;871185.97;493767.26;272233.04;77180.59;28005.08;313585.54;105000;126982.5;41429.09;0;40173.95;1992562.14
T1_1420;T1;1420;VILA NOVA DA BARQUINHA;2662221.84;1062452.08;602991.78;349004.44;27935.41;82520.45;1533257.16;0;1262444.11;2649.26;21626.18;246537.61;66512.6
T1_1610;T1;1610;VILA NOVA DE CERVEIRA;2926020.07;1787357.66;843302.55;838794.11;24998.38;80262.62;936537.92;30710.34;100503.8;117268.16;264968.48;423087.14;202124.49
T1_0312;T1;0312;VILA NOVA DE FAMALICÃO;13165612.19;8461355.78;3918383.02;3874597.45;124706.96;543668.35;3501152.92;46169.47;675614.22;2063716.67;581641.52;134011.04;1203103.49
T1_0914;T1;0914;VILA NOVA DE FOZ CÔA;2502920.37;2112779.31;589787.8;968977.66;23845.17;530168.68;196963.18;11115;100000;326.76;45852.84;39668.58;193177.88
T1_1317;T1;1317;VILA NOVA DE GAIA;26874577.52;14622442.7;7264588.25;4126470.86;1466710;1764673.59;4397220.33;20000;2041297.23;4882.9;510743.19;1820297.01;7854914.49
T1_1822;T1;1822;VILA NOVA DE PAIVA;1766680.85;1028306.19;508575.96;413945.64;30157.38;75627.21;620611.02;81320.83;21912.29;0;132864.15;384513.75;117763.64
